Datetime,CH4_ppm
2/22/17 1:23,2.46601
2/22/17 1:24,2.44549
2/22/17 1:25,2.42446
2/22/17 1:26,2.40435
2/22/17 1:27,2.4096
2/22/17 1:28,2.42633
2/22/17 1:29,2.42735
2/22/17 1:30,2.42656
2/22/17 1:31,2.48818
2/22/17 1:32,2.5181
2/22/17 1:33,2.51158
2/22/17 1:34,2.49222
2/22/17 1:35,2.48327
2/22/17 1:36,2.43257
2/22/17 1:37,2.46674
2/22/17 1:38,2.4792
2/22/17 1:39,2.47108
2/22/17 1:40,2.4821
2/22/17 1:41,2.47507
2/22/17 1:42,2.46953
2/22/17 1:43,2.47076
2/22/17 1:44,2.47575
2/22/17 1:45,2.45533
2/22/17 1:46,2.4516
2/22/17 1:47,2.42994
2/22/17 1:48,2.41038
2/22/17 1:49,2.41399
2/22/17 1:50,2.43546
2/22/17 1:51,2.41808
2/22/17 1:52,2.48672
2/22/17 1:53,2.52282
2/22/17 1:54,2.4864
2/22/17 1:55,2.43281
2/22/17 1:56,2.41414
2/22/17 1:57,2.40599
2/22/17 1:58,2.39323
2/22/17 1:59,2.40248
2/22/17 2:00,2.39816
2/22/17 2:01,2.40695
2/22/17 2:02,2.40479
2/22/17 2:03,2.37473
2/22/17 2:04,2.38078
2/22/17 2:05,2.35928
2/22/17 2:06,2.32304
2/22/17 2:07,2.31545
2/22/17 2:08,2.3105
2/22/17 2:09,2.32212
2/22/17 2:10,2.37081
2/22/17 2:11,2.3779
2/22/17 2:12,2.39429
2/22/17 2:13,2.38472
2/22/17 2:14,2.34835
2/22/17 2:15,2.39191
2/22/17 2:16,2.39551
2/22/17 2:17,2.45325
2/22/17 2:18,2.45775
2/22/17 2:19,2.47448
2/22/17 2:20,2.49907
2/22/17 2:21,2.53182
2/22/17 2:22,2.53313
2/22/17 2:23,2.5002
2/22/17 2:24,2.49202
2/22/17 2:25,2.49045
2/22/17 2:26,2.49689
2/22/17 2:27,2.51032
2/22/17 2:28,2.46298
2/22/17 2:29,2.47169
2/22/17 2:30,2.46537
2/22/17 2:31,2.46251
2/22/17 2:32,2.46384
2/22/17 2:33,2.46304
2/22/17 2:34,2.47208
2/22/17 2:35,2.44856
2/22/17 2:36,2.46837
2/22/17 2:37,2.49147
2/22/17 2:38,2.45967
2/22/17 2:39,2.44444
2/22/17 2:40,2.48048
2/22/17 2:41,2.45041
2/22/17 2:42,2.45304
2/22/17 2:43,2.44989
2/22/17 2:44,2.45614
2/22/17 2:45,2.48412
2/22/17 2:46,2.45866
2/22/17 2:47,2.4705
2/22/17 2:48,2.5064
2/22/17 2:49,2.45528
2/22/17 2:50,2.39903
2/22/17 2:51,2.47294
2/22/17 2:52,2.39356
2/22/17 2:53,2.40277
2/22/17 2:54,2.42692
2/22/17 2:55,2.49664
2/22/17 2:56,2.55057
2/22/17 2:57,2.55875
2/22/17 2:58,2.51046
2/22/17 2:59,2.52934
2/22/17 3:00,2.52923
2/22/17 3:01,2.52656
2/22/17 3:02,2.52695
2/22/17 3:03,2.53691
2/22/17 3:04,2.54721
2/22/17 3:05,2.5449
2/22/17 3:06,2.54857
2/22/17 3:07,2.545
2/22/17 3:08,2.57751
2/22/17 3:09,2.68441
2/22/17 3:10,2.65015
2/22/17 3:11,2.68689
2/22/17 3:12,2.63062
2/22/17 3:13,2.63342
2/22/17 3:14,2.64727
2/22/17 3:15,2.64115
2/22/17 3:16,2.62072
2/22/17 3:17,2.62087
2/22/17 3:18,2.67279
2/22/17 3:19,2.65456
2/22/17 3:20,2.61053
2/22/17 3:21,2.60722
2/22/17 3:22,2.56262
2/22/17 3:23,2.55687
2/22/17 3:24,2.59256
2/22/17 3:25,2.5899
2/22/17 3:26,2.52781
2/22/17 3:27,2.51265
2/22/17 3:28,2.51271
2/22/17 3:29,2.52389
2/22/17 3:30,2.49083
2/22/17 3:31,2.44427
2/22/17 3:32,2.42588
2/22/17 3:33,2.4132
